1,'.&...........time.nist.gov.....'
2,'.&...........time.nist.gov.....'
3,'.'...........time.nist.gov.....'
4,'.'...........time.nist.gov.....'
5,'.(...........time.nist.gov.....'
6,'.(...........time.nist.gov.....'
7,'.)...........time.nist.gov.....'
8,'.)...........time.nist.gov.....'
9,'.*...........time.nist.gov.....'
10,'.*...........time.nist.gov.....'
11,'.J...........localhost.....'
12,'.J...........localhost.....'
13,'..............................................'
14,'.+...........time.nist.gov.....'
15,'.+...........time.nist.gov.....'
16,"'.,...........time.nist.gov.....'"
17,"'.,...........time.nist.gov.....'"
18,'.-...........time.nist.gov.....'
19,'.-...........time.nist.gov.....'
20,'.............ntp1.dlink.com.....'
21,'.............ntp1.dlink.com.....'
22,'.............time.nist.gov.....'
23,'.............time.nist.gov.....'
24,'./...........time.nist.gov.....'
25,'./...........time.nist.gov.....'
26,'.............localhost.....'
27,'.............localhost.....'
28,'.............ntp1.dlink.com.....'
29,'.............ntp1.dlink.com.....'
30,'..................'
31,'=.................'
32,'..............................................'
33,'.0...........time.nist.gov.....'
34,'.0...........time.nist.gov.....'
35,'.1...........time.nist.gov.....'
36,'.1...........time.nist.gov.....'
37,'.2...........time.nist.gov.....'
38,'.2...........time.nist.gov.....'
39,'.............ntp1.dlink.com.....'
40,'.............ntp1.dlink.com.....'
41,'.3...........time.nist.gov.....'
42,'.3...........time.nist.gov.....'
43,'.4...........time.nist.gov.....'
44,'.4...........time.nist.gov.....'
45,"'.""...........localhost.....'"
46,"'.""...........localhost.....'"
47,'=.................'
48,'..................'
49,'..............................................'
50,'.5...........time.nist.gov.....'
51,'.5...........time.nist.gov.....'
52,'.6...........time.nist.gov.....'
53,'.6...........time.nist.gov.....'
54,'.7...........time.nist.gov.....'
55,'.7...........time.nist.gov.....'
56,'..................'
57,'....................3.a..t D....'
58,'.8...........time.nist.gov.....'
59,'.8...........time.nist.gov.....'
60,'.9...........time.nist.gov.....'
61,'.9...........time.nist.gov.....'
62,'.Z...........localhost.....'
63,'.Z...........localhost.....'
64,'..............................................'
65,'.:...........time.nist.gov.....'
66,'.:...........time.nist.gov.....'
67,'.;...........time.nist.gov.....'
68,'.;...........time.nist.gov.....'
69,'.<...........time.nist.gov.....'
70,'.<...........time.nist.gov.....'
71,'.=...........time.nist.gov.....'
72,'.=...........time.nist.gov.....'
73,'.>...........time.nist.gov.....'
74,'.>...........time.nist.gov.....'
75,'.a...........localhost.....'
76,'.a...........localhost.....'
77,'..............................................'
78,'.?...........time.nist.gov.....'
79,'.?...........time.nist.gov.....'
80,'.@...........time.nist.gov.....'
81,'.@...........time.nist.gov.....'
82,'..................'
83,'=.................'
84,'.A...........time.nist.gov.....'
85,'.A...........time.nist.gov.....'
86,'.B...........time.nist.gov.....'
87,'.B...........time.nist.gov.....'
88,'.............localhost.....'
89,'.............localhost.....'
90,'.C...........time.nist.gov.....'
91,'.C...........time.nist.gov.....'
92,'..............................................'
93,'.D...........time.nist.gov.....'
94,'.D...........time.nist.gov.....'
95,'.E...........time.nist.gov.....'
96,'.E...........time.nist.gov.....'
97,'.F...........time.nist.gov.....'
98,'.F...........time.nist.gov.....'
99,'.G...........time.nist.gov.....'
100,'.G...........time.nist.gov.....'
101,'p............localhost.....'
102,'p............localhost.....'
103,'.H...........time.nist.gov.....'
104,'.H...........time.nist.gov.....'
105,'..............................................'
106,'.I...........time.nist.gov.....'
107,'.I...........time.nist.gov.....'
108,'..................'
109,'....................3....t ~....'
110,'.J...........time.nist.gov.....'
